Effective date ,S&P 500 Energy ,S&P 500 Health Care ,S&P 500 Information Technology ,S&P 500 Communication Services ,S&P 500 Consumer Discretionary ,S&P 500 Consumer Staples ,S&P 500 Financials ,S&P 500 Industrials ,S&P 500 Materials ,S&P 500 Real Estate ,S&P 500 Utilities 
03/06/2011,0.030558,-0.9419229,-1.4080759,-1.658573,-1.3829924,-0.9080835,-0.67479,-1.3063606,-1.3010842,0.4512296,-0.7061476
06/06/2011,-2.0251936,-0.6281717,-0.6870997,-0.9876168,-0.9784098,-0.4783946,-1.9892473,-0.7678468,-0.9379753,-1.6021562,-0.4780972
07/06/2011,-0.1247203,0.2330251,-0.3681649,-0.2455306,0.1218629,-0.2060118,-0.1944846,-0.090653,0.319884,1.5597657,0.1261034
08/06/2011,0.4223748,0.0643039,-0.8233719,0.1769095,-0.8125267,0.0093835,-0.9393425,-0.7485661,-0.956592,-0.3970632,0.1379393
09/06/2011,1.2361934,0.976297,0.08002,-0.0844595,0.7694349,0.5285545,1.1903561,0.705237,1.5839629,-0.9702896,0.0539019
10/06/2011,-1.8786127,-1.774612,-1.4916796,-0.7146699,-1.8430753,-1.1293283,-0.7078058,-1.5497341,-1.2507923,-2.4760747,-0.5746438
13/06/2011,-1.3659794,0.3762865,-0.0152188,0.6656347,-0.1575912,0.3335431,1.0391566,0.0790358,-0.5520134,0.3037383,0.3792896
14/06/2011,1.9877562,0.8962264,1.3115503,0.5766569,1.7362394,1.0380731,0.5067819,1.816387,1.8846816,1.5684448,0.4018473
15/06/2011,-2.2308438,-1.3287075,-1.8429487,-1.2919502,-1.4788407,-1.4898966,-2.1899254,-1.4607976,-2.293268,-1.8194328,-1.2246117
16/06/2011,0.2620545,0.1496222,-0.3214286,0.1471499,-0.2110836,0.7877241,0.5711109,0.291899,-0.9379728,0.7864206,0.81645
17/06/2011,-0.2595027,0.219118,-0.2712801,0.7733354,0.6883121,0.5470973,0.9196442,0.389156,-0.0349071,1.0738566,0.6358728
20/06/2011,0.3724848,1.0261124,0.3387395,0.5525286,0.8670135,0.6995834,-0.0746938,0.8046127,0.7987778,1.085378,0.5543634
21/06/2011,1.8256751,0.6099061,1.9462916,0.808975,2.0100503,-0.1389446,1.3803757,1.5705284,2.5895293,0.831758,0.0770644
22/06/2011,-0.4303793,-0.6159863,-0.8228594,-0.5148005,-0.8004926,-0.6554944,-0.6586709,-0.5917725,-0.3756701,-0.4949381,-0.6871224
23/06/2011,-1.1550912,-0.0811648,0.860041,-0.2130736,0.3920416,-0.9430439,-0.9698169,-0.2816451,-0.0805017,-1.951918,-0.8529166
24/06/2011,-1.9259397,-1.2356923,-1.8283049,-0.770228,-1.0055648,-0.7069469,-0.6845208,-1.210001,-0.5724463,-0.1076095,0.2225832
27/06/2011,0.7115074,0.5582833,1.3999591,1.0759299,1.2294543,0.4398456,1.1319616,0.9031839,0.1450017,0.8002462,0.7683073
28/06/2011,2.6996986,1.4548789,1.2874131,0.6767032,1.8672469,0.3182004,0.4128942,1.4553416,1.7843455,0.7251908,0.4586609
29/06/2011,1.1024893,0.0513021,0.7536751,0.6192886,0.4176097,0.4365304,2.0956156,0.463345,1.5396845,1.1898446,0.444708
30/06/2011,1.5095983,0.3369552,1.4442305,0.8331457,0.9174603,0.8911541,0.3833463,1.6742482,1.3350365,0.4044338,0.3719008
01/07/2011,0.9652165,1.2702893,1.7278723,1.3026649,1.9723804,0.7500155,1.7305554,1.7429938,0.9108283,1.8573773,1.2291948
05/07/2011,0.45498,-0.3123874,0.1554987,-0.2057462,0.3948667,-0.073828,-0.8363032,-0.5954744,0.1128259,0.5126327,-0.5926098
06/07/2011,-0.1779955,0.2699771,0.4896575,-0.7510493,-0.2919125,0.5849033,-0.5510566,0.5222413,0.3622459,0.4735883,0.1928697
07/07/2011,1.3576498,-0.0697166,1.409522,-0.0074189,1.3313199,0.6365918,1.5755999,1.0146079,1.483858,1.3125453,0.3499971
08/07/2011,-0.6897633,-0.404157,-0.4687793,-0.3116189,-0.6143365,-0.3375707,-1.3044922,-1.1768621,-0.6757558,-0.4867225,-0.3429634
11/07/2011,-2.0433219,-1.4057971,-1.7968161,-1.1387318,-1.9645644,-0.7323548,-2.8068826,-1.8368284,-2.0529959,-1.8916781,-1.1140924
